id,model_name,model_id,model_version_id,version_name,civitai_url,trigger_words
46,LegoXL,205580,231478,v1.0,https://civitai.com/models/205580/legoxl?modelVersionId=231478,lego
47,Felted Doll XL | 毛毡娃娃,155531,174466,v1.0,https://civitai.com/models/155531/felted-doll-xl-or?modelVersionId=174466,Felted Doll
48,Paper Cutout style (SDXL Dreambooth LoRA),204503,230254,v1.0,https://civitai.com/models/204503/paper-cutout-style-sdxl-dreambooth-lora?modelVersionId=230254,PaperCutout style
49,Surreal Collage,35777,154227,SD XL,https://civitai.com/models/35777/surreal-collage?modelVersionId=154227,Surreal Collage
50,80s cartoon SDXL 1.0,125857,137526,v1.0,https://civitai.com/models/125857/80s-cartoon-sdxl-10?modelVersionId=137526,style of 80scartoon
51,PE CourtRoomSketch [Style],122829,148278,v2.0 SDXL,https://civitai.com/models/122829/pe-courtroomsketch-style?modelVersionId=148278,"PECourtRoomSketch, Courtroom"
52,Aether Snow - LoRA for SDXL,237531,267791,v1.0,https://civitai.com/models/237531/aether-snow-lora-for-sdxl?modelVersionId=267791,made of snow
53,Voxel Style [SDXL],461862,513975,SDXL,https://civitai.com/models/461862/voxel-style-sdxl?modelVersionId=513975,ral-vxl
54,Leonardo da Vinci SDXL 1.0 art style LoRA (Paintings),130182,142778,v1.0,https://civitai.com/models/130182/leonardo-da-vinci-sdxl-10-art-style-lora-paintings?modelVersionId=142778,dvnc
55,style of Vincent van Gogh [SDXL] 123,453731,505139,v1.0,https://civitai.com/models/453731/style-of-vincent-van-gogh-sdxl-123?modelVersionId=505139,style of Vincent van Gogh
56,Newchinese | New Chinese style meticulous color writing,208404,234698,v1.0,https://civitai.com/models/208404/newchinese-or-new-chinese-style-meticulous-color-writing?modelVersionId=234698,"chinese meticulous ink, illustration"
57,"FF Style: Edvard Munch, (SDXL)",182009,204265,LoRA with V-Prediction,https://civitai.com/models/182009/ff-style-edvard-munch-sdxl?modelVersionId=204265,"style of Edvard Munch, Edvard Munch, Edvard Munch style"
58,black metal art,169733,190747,black meta art,https://civitai.com/models/169733/black-metal-art?modelVersionId=190747,"blackmetal style, xerox, black and white"
59,Textured glass,119158,129366,v1.0,https://civitai.com/models/119158/textured-glass?modelVersionId=129366,"textured glass, fluted glass, curved glass"
60,Balloons [LoRA 1.5+SDXL],186256,209126,SDXL,https://civitai.com/models/186256/balloons-lora-15sdxl?modelVersionId=209126,balloonz
61,CharaSilhouette,137412,151688,CharaSilhouette v1.0,https://civitai.com/models/137412/charasilhouette?modelVersionId=151688,"charasil, style, monochrome, silhouette, sketch"
62,SpiderWeb,333052,373088,v1.0,https://civitai.com/models/333052/spiderweb?modelVersionId=373088,"spiderweb, cobweb"
63,PE Shitty FanArt,128456,140636,v1.0,https://civitai.com/models/128456/pe-shitty-fanart?modelVersionId=140636,"PETerribleFanArt, badly drawn, terrible drawing, ugly, creepy"
64,SDXL Emoji LoRA,144245,160282,SDXL Emoji LoRA,https://civitai.com/models/144245/sdxl-emoji-lora?modelVersionId=160282,"emoji, flat"
65,Freckles,151132,168973,SDXL v1.0,https://civitai.com/models/151132/freckles?modelVersionId=168973,Freckles
66,statue,262305,295843,v1.0,https://civitai.com/models/262305/statue?modelVersionId=295843,"statue, sculpture"
67,Ancient Egypt Painting Style,182724,205067,Ancient Egypt Painting Style,https://civitai.com/models/182724/ancient-egypt-painting-style?modelVersionId=205067,ancientegypt
68,XL Realistic jade carving art style,212776,239695,v1.0,https://civitai.com/models/212776/xl-realistic-jade-carving-art-style?modelVersionId=239695,jadecarvingcd_xl
69,Torn Paper Collage Style - SDXL,270049,304433,v1.0,https://civitai.com/models/270049/torn-paper-collage-style-sdxl?modelVersionId=304433,torn paper collage
70,Nicolas Poussin Style,106088,154079,SD XL,https://civitai.com/models/106088/nicolas-poussin-style?modelVersionId=154079,Nicolas Poussin Style page
71,Dishwashing Soap Style [SDXL],285134,320782,SDXL,https://civitai.com/models/285134/dishwashing-soap-style-sdxl?modelVersionId=320782,ral-dshwshsop
72,涂鸦漫画 | Graffiti Comic SDXL,169938,190986,v1.0,https://civitai.com/models/169938/or-graffiti-comic-sdxl?modelVersionId=190986,"Graffiti Comic, Graffiti"
73,Jessie Willcox Smith Style,100705,153835,SD XL,https://civitai.com/models/100705/jessie-willcox-smith-style?modelVersionId=153835,Jessie Willcox Smith Style page
74,SDXL_MASK,210611,237196,v1.0,https://civitai.com/models/210611/sdxlmask?modelVersionId=237196,mask
75,William McTaggart Style,107155,154292,SD XL,https://civitai.com/models/107155/william-mctaggart-style?modelVersionId=154292,William McTaggart Style
76,Skull Graphics,133773,147284,SDXL v1.0,https://civitai.com/models/133773/skull-graphics?modelVersionId=147284,skull_graphics
77,Peter Paul Rubens Style,106466,154136,SD XL,https://civitai.com/models/106466/peter-paul-rubens-style?modelVersionId=154136,Peter Paul Rubens Style
78,Lawrence Alma-Tadema Style,105973,153890,SDXL 1.0,https://civitai.com/models/105973/lawrence-alma-tadema-style?modelVersionId=153890,Lawrence Alma Tadema Style page
79,Japanese Poster Prints,503223,559621,v1.0,https://civitai.com/models/503223/japanese-poster-prints?modelVersionId=559621,"daiton style, block print"
80,Lovis Corinth Style,105979,153897,SD XL,https://civitai.com/models/105979/lovis-corinth-style?modelVersionId=153897,Lovis Corinth Style page
81,Cardboard drawings,134289,147890,v1.0,https://civitai.com/models/134289/cardboard-drawings?modelVersionId=147890,Cardboard drawings
82,Rembrandt [LoRA SDXL],188069,211181,v1.0,https://civitai.com/models/188069/rembrandt-lora-sdxl?modelVersionId=211181,RembrandtXL
83,Mikhail Vrubel Style,106075,154069,SD XL,https://civitai.com/models/106075/mikhail-vrubel-style?modelVersionId=154069,Mikhail Vrubel Style page
84,3D Cube Style [SDXL+SD1.5],243123,274319,SDXL,https://civitai.com/models/243123/3d-cube-style-sdxlsd15?modelVersionId=274319,ral-3dcubes
85,Embroidered Patch Style [SDXL],237401,267659,SDXL,https://civitai.com/models/237401/embroidered-patch-style-sdxl?modelVersionId=267659,ral-embroideredpatch
